Time,bankingsystemc
5,0.0142
10,0.0143
15,0.0143
20,0.0144
25,0.0144
30,0.0151
35,0.0151
40,0.0153
45,0.0153
50,0.0148
55,0.0148
60,0.015
65,0.015
70,0.0147
75,0.0147
80,0.0143
85,0.0143
90,0.0145
95,0.0145
100,0.0144
105,0.0144
110,0.12
115,0.12
120,0.0202
125,0.0202
130,0.0205
135,0.0205
140,0.0209
145,0.0209
150,0.021
155,0.021
160,0.02
165,0.02
170,0.0191
175,0.0191
180,0.0192
185,0.0192
190,0.0199
195,0.0199
200,0.0194
205,0.0194
210,0.019
215,0.019
220,0.0197
225,0.0197
230,0.0256
235,0.0256
240,0.0254
245,0.0254
250,0.0241
255,0.0241
260,0.0227
265,0.0227
270,0.0242
275,0.0242
280,0.0228
285,0.0228
290,0.0218
295,0.0218
300,0.0206
305,0.0206
310,0.0214
315,0.0214
320,0.0239
325,0.0239
330,0.0235
335,0.0235
340,0.0237
345,0.0237
350,0.0235
355,0.0235
360,0.0232
365,0.0232
370,0.0229
375,0.0229
380,0.0222
385,0.0222
390,0.0215
395,0.0215
400,0.0234
405,0.0234
410,0.0219
415,0.0219
420,0.0218
425,0.0218
430,0.0215
435,0.0215
440,0.0154
445,0.0154
450,0.0158
455,0.0158
460,0.0162
465,0.0162
470,0.0149
475,0.0149
480,0.0143
485,0.0143
490,0.0142
495,0.0142
500,0.0144
505,0.0144
510,0.0132
515,0.0132
520,0.0106
525,0.0106
530,0.0113
535,0.0113
540,0.0112
545,0.0112
550,0.0114
555,0.0114
560,0.011
565,0.011
570,0.0106
575,0.0106
580,0.0106
585,0.0106
590,0.0109
595,0.0109
600,0.0108
