Time,bankingsystemc
5,25141248
10,25960448
15,25960448
20,27611136
25,28360704
30,28975104
35,29564928
40,30298112
45,31023104
50,31887360
55,32673792
60,33427456
65,34177024
70,34971648
75,35569664
80,36261888
85,37339136
90,38060032
95,38793216
100,51957760
105,53252096
110,55156736
115,57651200
120,58900480
125,60993536
130,62812160
135,65110016
140,67149824
145,68956160
150,71299072
155,73273344
160,74485760
165,77209600
170,79007744
175,81190912
180,82436096
185,84344832
190,86401024
195,88387584
200,90955776
205,92405760
210,94269440
215,96194560
220,98185216
225,100425728
230,102449152
235,104382464
240,106553344
245,108290048
250,110338048
255,111902720
260,114487296
265,116731904
270,118673408
275,120348672
280,122200064
285,123928576
290,125833216
295,128557056
300,139501568
305,142802944
310,144973824
315,148230144
320,151928832
325,155013120
330,158162944
335,161820672
340,164462592
345,167428096
350,170766336
355,174170112
360,177512448
365,180822016
370,184111104
375,187326464
380,189038592
385,189038592
390,196952064
395,198483968
400,202240000
405,202240000
410,209707008
415,211496960
420,215457792
425,218046464
430,218148864
435,218148864
440,219942912
445,220037120
450,220037120
455,222814208
460,222908416
465,223002624
470,223105024
475,223105024
480,223293440
485,223391744
490,223506432
495,226205696
500,226291712
505,226873344
510,239407104
515,239439872
520,239509504
525,239566848
530,239632384
535,239685632
540,239747072
545,239833088
550,239882240
555,239947776
560,239980544
565,240054272
570,241131520
575,241205248
580,241254400
585,241315840
590,241393664
595,241438720
600,241504256
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
