"Time","bankingsystemc-7556d658fb-r6bcv"
2024-05-02 16:29:00,105
2024-05-02 16:29:30,101
2024-05-02 16:30:00,101
2024-05-02 16:30:30,106
2024-05-02 16:31:00,108
2024-05-02 16:31:30,108
2024-05-02 16:32:00,107
2024-05-02 16:32:30,102
2024-05-02 16:33:00,105
2024-05-02 16:33:30,104
2024-05-02 16:34:00,104
2024-05-02 16:34:30,105
2024-05-02 16:35:00,103
2024-05-02 16:35:30,103
2024-05-02 16:36:00,102
2024-05-02 16:36:30,108
2024-05-02 16:37:00,105
2024-05-02 16:37:30,103
2024-05-02 16:38:00,104
2024-05-02 16:38:30,653
2024-05-02 16:39:00,266
2024-05-02 16:39:30,191
2024-05-02 16:40:00,189
2024-05-02 16:40:30,186
2024-05-02 16:41:00,195
2024-05-02 16:41:30,182
2024-05-02 16:42:00,183
2024-05-02 16:42:30,186
2024-05-02 16:43:00,188
2024-05-02 16:43:30,185
2024-05-02 16:44:00,188
2024-05-02 16:44:30,182
2024-05-02 16:45:00,182
2024-05-02 16:45:30,177
2024-05-02 16:46:00,177
2024-05-02 16:46:30,190
2024-05-02 16:47:00,180
2024-05-02 16:47:30,179
2024-05-02 16:48:00,183
2024-05-02 16:48:30,175
2024-05-02 16:49:00,183
2024-05-02 16:49:30,179
2024-05-02 16:50:00,183
2024-05-02 16:50:30,210
2024-05-02 16:51:00,210
2024-05-02 16:51:30,206
2024-05-02 16:52:00,212
2024-05-02 16:52:30,203
2024-05-02 16:53:00,217
2024-05-02 16:53:30,208
2024-05-02 16:54:00,206
2024-05-02 16:54:30,208
2024-05-02 16:55:00,202
2024-05-02 16:55:30,199
2024-05-02 16:56:00,201
2024-05-02 16:56:30,201
2024-05-02 16:57:00,190
2024-05-02 16:57:30,203
2024-05-02 16:58:00,196
2024-05-02 16:58:30,201
2024-05-02 16:59:00,258
2024-05-02 16:59:30,250
2024-05-02 17:00:00,259
2024-05-02 17:00:30,251
2024-05-02 17:01:00,254
2024-05-02 17:01:30,245
2024-05-02 17:02:00,258
2024-05-02 17:02:30,245
2024-05-02 17:03:00,254
2024-05-02 17:03:30,251
2024-05-02 17:04:00,256
2024-05-02 17:04:30,246
2024-05-02 17:05:00,234
2024-05-02 17:05:30,240
2024-05-02 17:06:00,254
2024-05-02 17:06:30,243
2024-05-02 17:07:00,242
2024-05-02 17:07:30,233
2024-05-02 17:08:00,246
2024-05-02 17:08:30,245
2024-05-02 17:09:00,252
2024-05-02 17:09:30,238
2024-05-02 17:10:00,251
2024-05-02 17:10:30,232
2024-05-02 17:11:00,215
2024-05-02 17:11:30,69.2
2024-05-02 17:12:00,69.5
2024-05-02 17:12:30,61.9
2024-05-02 17:13:00,66.3
2024-05-02 17:13:30,68.3
2024-05-02 17:14:00,67.4
2024-05-02 17:14:30,63.4
2024-05-02 17:15:00,66.1
2024-05-02 17:15:30,66.1
2024-05-02 17:16:00,66.8
2024-05-02 17:16:30,62.7
2024-05-02 17:17:00,63
2024-05-02 17:17:30,60.4
2024-05-02 17:18:00,62.8
2024-05-02 17:18:30,59.4
2024-05-02 17:19:00,196
2024-05-02 17:19:30,571
2024-05-02 17:20:00,44.2
2024-05-02 17:20:30,43.1
2024-05-02 17:21:00,45.6
2024-05-02 17:21:30,44.9
2024-05-02 17:22:00,45.6
2024-05-02 17:22:30,45.9
2024-05-02 17:23:00,45.3
2024-05-02 17:23:30,44.5
2024-05-02 17:24:00,44.8
2024-05-02 17:24:30,45.6
2024-05-02 17:25:00,44.9
2024-05-02 17:25:30,47
2024-05-02 17:26:00,45.9
2024-05-02 17:26:30,44.1
2024-05-02 17:27:00,47.4
2024-05-02 17:27:30,44.9
2024-05-02 17:28:00,63
2024-05-02 17:28:30,65.3
2024-05-02 17:29:00,65.6
2024-05-02 17:29:30,67.4
2024-05-02 17:30:00,62.3
2024-05-02 17:30:30,66
2024-05-02 17:31:00,65.8
2024-05-02 17:31:30,64.5
2024-05-02 17:32:00,64.4
2024-05-02 17:32:30,66.9
2024-05-02 17:33:00,64.1
2024-05-02 17:33:30,66.2
2024-05-02 17:34:00,66.4
2024-05-02 17:34:30,66.1
2024-05-02 17:35:00,66.5
2024-05-02 17:35:30,64.9
2024-05-02 17:36:00,65.3
2024-05-02 17:36:30,66.3
2024-05-02 17:37:00,64.1
2024-05-02 17:37:30,65.4
2024-05-02 17:38:00,66.9
2024-05-02 17:38:30,64.4
2024-05-02 17:39:00,66.5
2024-05-02 17:39:30,64.1
2024-05-02 17:40:00,66.5
2024-05-02 17:40:30,66.5
2024-05-02 17:41:00,67.7
2024-05-02 17:41:30,64.3
2024-05-02 17:42:00,65.0
2024-05-02 17:42:30,64.5
2024-05-02 17:43:00,66.5
2024-05-02 17:43:30,65.2
2024-05-02 17:44:00,65.2
2024-05-02 17:44:30,66.5
2024-05-02 17:45:00,66.1
2024-05-02 17:45:30,64.9
2024-05-02 17:46:00,66.1
2024-05-02 17:46:30,62.7
2024-05-02 17:47:00,66.1
2024-05-02 17:47:30,66.7
2024-05-02 17:48:00,65.8
2024-05-02 17:48:30,65.1
2024-05-02 17:49:00,64.4
2024-05-02 17:49:30,64.9
