"Time","bankingsystemc-7556d658fb-r6bcv"
2024-05-02 16:29:00,104
2024-05-02 16:29:30,98.6
2024-05-02 16:30:00,98.4
2024-05-02 16:30:30,103
2024-05-02 16:31:00,107
2024-05-02 16:31:30,107
2024-05-02 16:32:00,105
2024-05-02 16:32:30,99
2024-05-02 16:33:00,102
2024-05-02 16:33:30,101
2024-05-02 16:34:00,99.8
2024-05-02 16:34:30,102
2024-05-02 16:35:00,101
2024-05-02 16:35:30,100.0
2024-05-02 16:36:00,99.7
2024-05-02 16:36:30,104
2024-05-02 16:37:00,101
2024-05-02 16:37:30,98.8
2024-05-02 16:38:00,101
2024-05-02 16:38:30,640
2024-05-02 16:39:00,254
2024-05-02 16:39:30,178
2024-05-02 16:40:00,178
2024-05-02 16:40:30,174
2024-05-02 16:41:00,183
2024-05-02 16:41:30,172
2024-05-02 16:42:00,172
2024-05-02 16:42:30,174
2024-05-02 16:43:00,177
2024-05-02 16:43:30,174
2024-05-02 16:44:00,177
2024-05-02 16:44:30,171
2024-05-02 16:45:00,171
2024-05-02 16:45:30,166
2024-05-02 16:46:00,166
2024-05-02 16:46:30,179
2024-05-02 16:47:00,168
2024-05-02 16:47:30,166
2024-05-02 16:48:00,172
2024-05-02 16:48:30,162
2024-05-02 16:49:00,171
2024-05-02 16:49:30,167
2024-05-02 16:50:00,172
2024-05-02 16:50:30,198
2024-05-02 16:51:00,198
2024-05-02 16:51:30,194
2024-05-02 16:52:00,201
2024-05-02 16:52:30,193
2024-05-02 16:53:00,206
2024-05-02 16:53:30,195
2024-05-02 16:54:00,196
2024-05-02 16:54:30,197
2024-05-02 16:55:00,191
2024-05-02 16:55:30,188
2024-05-02 16:56:00,190
2024-05-02 16:56:30,189
2024-05-02 16:57:00,180
2024-05-02 16:57:30,191
2024-05-02 16:58:00,186
2024-05-02 16:58:30,188
2024-05-02 16:59:00,252
2024-05-02 16:59:30,244
2024-05-02 17:00:00,254
2024-05-02 17:00:30,245
2024-05-02 17:01:00,247
2024-05-02 17:01:30,239
2024-05-02 17:02:00,253
2024-05-02 17:02:30,239
2024-05-02 17:03:00,249
2024-05-02 17:03:30,245
2024-05-02 17:04:00,251
2024-05-02 17:04:30,241
2024-05-02 17:05:00,228
2024-05-02 17:05:30,234
2024-05-02 17:06:00,248
2024-05-02 17:06:30,238
2024-05-02 17:07:00,237
2024-05-02 17:07:30,227
2024-05-02 17:08:00,240
2024-05-02 17:08:30,240
2024-05-02 17:09:00,247
2024-05-02 17:09:30,232
2024-05-02 17:10:00,245
2024-05-02 17:10:30,227
2024-05-02 17:11:00,210
2024-05-02 17:11:30,67.9
2024-05-02 17:12:00,68.1
2024-05-02 17:12:30,60.4
2024-05-02 17:13:00,64.9
2024-05-02 17:13:30,67.3
2024-05-02 17:14:00,66.4
2024-05-02 17:14:30,62.2
2024-05-02 17:15:00,64.5
2024-05-02 17:15:30,64.5
2024-05-02 17:16:00,66
2024-05-02 17:16:30,61.3
2024-05-02 17:17:00,61.4
2024-05-02 17:17:30,59.1
2024-05-02 17:18:00,61.2
2024-05-02 17:18:30,56.3
2024-05-02 17:19:00,195
2024-05-02 17:19:30,567
2024-05-02 17:20:00,38.5
2024-05-02 17:20:30,36.5
2024-05-02 17:21:00,38.1
2024-05-02 17:21:30,38.7
2024-05-02 17:22:00,39.8
2024-05-02 17:22:30,39.1
2024-05-02 17:23:00,39.1
2024-05-02 17:23:30,38.1
2024-05-02 17:24:00,37.8
2024-05-02 17:24:30,39.2
2024-05-02 17:25:00,38.5
2024-05-02 17:25:30,38.9
2024-05-02 17:26:00,39.6
2024-05-02 17:26:30,36.8
2024-05-02 17:27:00,40
2024-05-02 17:27:30,37.2
2024-05-02 17:28:00,46.8
2024-05-02 17:28:30,48.5
2024-05-02 17:29:00,48.1
2024-05-02 17:29:30,49.4
2024-05-02 17:30:00,44.3
2024-05-02 17:30:30,47.6
2024-05-02 17:31:00,47.8
2024-05-02 17:31:30,47.0
2024-05-02 17:32:00,45.8
2024-05-02 17:32:30,46.4
2024-05-02 17:33:00,45.5
2024-05-02 17:33:30,47.1
2024-05-02 17:34:00,46.9
2024-05-02 17:34:30,46.5
2024-05-02 17:35:00,47
2024-05-02 17:35:30,45.3
2024-05-02 17:36:00,45.9
2024-05-02 17:36:30,45.6
2024-05-02 17:37:00,44.6
2024-05-02 17:37:30,45.3
2024-05-02 17:38:00,46.3
2024-05-02 17:38:30,44.3
2024-05-02 17:39:00,46.5
2024-05-02 17:39:30,46.3
2024-05-02 17:40:00,46.4
2024-05-02 17:40:30,46.4
2024-05-02 17:41:00,46.6
2024-05-02 17:41:30,45.0
2024-05-02 17:42:00,44.4
2024-05-02 17:42:30,42.8
2024-05-02 17:43:00,45.2
2024-05-02 17:43:30,44.2
2024-05-02 17:44:00,44.2
2024-05-02 17:44:30,44.8
2024-05-02 17:45:00,44.8
2024-05-02 17:45:30,44.1
2024-05-02 17:46:00,43.8
2024-05-02 17:46:30,42.5
2024-05-02 17:47:00,44.5
2024-05-02 17:47:30,44.4
2024-05-02 17:48:00,44.9
2024-05-02 17:48:30,43.0
2024-05-02 17:49:00,43.7
2024-05-02 17:49:30,43.2
