"Time","bankingsystemc-7556d658fb-r6bcv"
2024-05-02 16:29:00,18433
2024-05-02 16:29:30,17774
2024-05-02 16:30:00,17346
2024-05-02 16:30:30,18693
2024-05-02 16:31:00,19057
2024-05-02 16:31:30,19057
2024-05-02 16:32:00,18677
2024-05-02 16:32:30,17711
2024-05-02 16:33:00,18488
2024-05-02 16:33:30,18148
2024-05-02 16:34:00,17949
2024-05-02 16:34:30,18349
2024-05-02 16:35:00,18030
2024-05-02 16:35:30,17929
2024-05-02 16:36:00,17834
2024-05-02 16:36:30,18746
2024-05-02 16:37:00,18249
2024-05-02 16:37:30,17910
2024-05-02 16:38:00,18170
2024-05-02 16:38:30,173184
2024-05-02 16:39:00,53355
2024-05-02 16:39:30,30479
2024-05-02 16:40:00,30582
2024-05-02 16:40:30,29713
2024-05-02 16:41:00,31301
2024-05-02 16:41:30,29226
2024-05-02 16:42:00,29162
2024-05-02 16:42:30,29318
2024-05-02 16:43:00,30049
2024-05-02 16:43:30,29342
2024-05-02 16:44:00,29924
2024-05-02 16:44:30,28513
2024-05-02 16:45:00,28495
2024-05-02 16:45:30,27777
2024-05-02 16:46:00,27777
2024-05-02 16:46:30,29555
2024-05-02 16:47:00,27794
2024-05-02 16:47:30,27453
2024-05-02 16:48:00,28163
2024-05-02 16:48:30,26852
2024-05-02 16:49:00,28383
2024-05-02 16:49:30,27227
2024-05-02 16:50:00,29013
2024-05-02 16:50:30,36522
2024-05-02 16:51:00,36522
2024-05-02 16:51:30,35162
2024-05-02 16:52:00,36381
2024-05-02 16:52:30,34661
2024-05-02 16:53:00,37226
2024-05-02 16:53:30,35272
2024-05-02 16:54:00,35291
2024-05-02 16:54:30,35232
2024-05-02 16:55:00,34140
2024-05-02 16:55:30,33432
2024-05-02 16:56:00,33767
2024-05-02 16:56:30,33650
2024-05-02 16:57:00,31962
2024-05-02 16:57:30,33749
2024-05-02 16:58:00,32979
2024-05-02 16:58:30,30178
2024-05-02 16:59:00,39427
2024-05-02 16:59:30,38182
2024-05-02 17:00:00,39674
2024-05-02 17:00:30,37960
2024-05-02 17:01:00,38677
2024-05-02 17:01:30,37084
2024-05-02 17:02:00,39241
2024-05-02 17:02:30,36848
2024-05-02 17:03:00,38328
2024-05-02 17:03:30,37522
2024-05-02 17:04:00,38557
2024-05-02 17:04:30,36806
2024-05-02 17:05:00,34611
2024-05-02 17:05:30,35340
2024-05-02 17:06:00,38246
2024-05-02 17:06:30,36293
2024-05-02 17:07:00,36016
2024-05-02 17:07:30,33834
2024-05-02 17:08:00,36565
2024-05-02 17:08:30,36299
2024-05-02 17:09:00,37372
2024-05-02 17:09:30,35105
2024-05-02 17:10:00,37210
2024-05-02 17:10:30,34087
2024-05-02 17:11:00,32779
2024-05-02 17:11:30,18071
2024-05-02 17:12:00,18091
2024-05-02 17:12:30,16087
2024-05-02 17:13:00,17291
2024-05-02 17:13:30,17930
2024-05-02 17:14:00,17468
2024-05-02 17:14:30,16576
2024-05-02 17:15:00,17184
2024-05-02 17:15:30,17184
2024-05-02 17:16:00,17589
2024-05-02 17:16:30,16344
2024-05-02 17:17:00,16375
2024-05-02 17:17:30,15735
2024-05-02 17:18:00,16127
2024-05-02 17:18:30,14992
2024-05-02 17:19:00,55790
2024-05-02 17:19:30,165981
2024-05-02 17:20:00,10256
2024-05-02 17:20:30,9732
2024-05-02 17:21:00,10163
2024-05-02 17:21:30,10301
2024-05-02 17:22:00,10607
2024-05-02 17:22:30,10414
2024-05-02 17:23:00,10412
2024-05-02 17:23:30,10141
2024-05-02 17:24:00,10086
2024-05-02 17:24:30,10437
2024-05-02 17:25:00,10256
2024-05-02 17:25:30,10065
2024-05-02 17:26:00,10545
2024-05-02 17:26:30,9799
2024-05-02 17:27:00,10658
2024-05-02 17:27:30,9918
2024-05-02 17:28:00,11504
2024-05-02 17:28:30,11758
2024-05-02 17:29:00,11645
2024-05-02 17:29:30,11967
2024-05-02 17:30:00,10691
2024-05-02 17:30:30,11465
2024-05-02 17:31:00,11575
2024-05-02 17:31:30,11346
2024-05-02 17:32:00,11058
2024-05-02 17:32:30,11148
2024-05-02 17:33:00,10975
2024-05-02 17:33:30,11363
2024-05-02 17:34:00,11318
2024-05-02 17:34:30,11217
2024-05-02 17:35:00,11329
2024-05-02 17:35:30,10867
2024-05-02 17:36:00,11080
2024-05-02 17:36:30,10968
2024-05-02 17:37:00,10713
2024-05-02 17:37:30,10875
2024-05-02 17:38:00,11094
2024-05-02 17:38:30,10654
2024-05-02 17:39:00,11188
2024-05-02 17:39:30,11165
2024-05-02 17:40:00,11192
2024-05-02 17:40:30,11192
2024-05-02 17:41:00,11216
2024-05-02 17:41:30,10841
2024-05-02 17:42:00,10648
2024-05-02 17:42:30,10243
2024-05-02 17:43:00,10847
2024-05-02 17:43:30,10600
2024-05-02 17:44:00,10600
2024-05-02 17:44:30,10719
2024-05-02 17:45:00,10766
2024-05-02 17:45:30,10570
2024-05-02 17:46:00,10486
2024-05-02 17:46:30,10206
2024-05-02 17:47:00,10678
2024-05-02 17:47:30,10632
2024-05-02 17:48:00,10777
2024-05-02 17:48:30,10279
2024-05-02 17:49:00,10469
2024-05-02 17:49:30,10358
