Time,bankingsystemcsharp
5,0.0431
10,0.0431
15,0.0446
20,0.0446
25,0.0427
30,0.0427
35,0.0464
40,0.0464
45,0.041
50,0.041
55,0.0413
60,0.0413
65,0.0442
70,0.0442
75,0.0451
80,0.0451
85,0.0418
90,0.0418
95,0.0453
100,0.0453
105,0.0417
110,0.0417
115,0.0419
120,0.0419
125,0.0408
130,0.0408
135,0.0439
140,0.0439
145,0.0441
150,0.0441
155,0.0409
160,0.0409
165,0.0429
170,0.0429
175,0.0416
180,0.0416
185,0.0426
190,0.0426
195,0.0908
200,0.0908
205,0.111
210,0.111
215,0.107
220,0.107
225,0.104
230,0.104
235,0.109
240,0.109
245,0.0999
250,0.0999
255,0.105
260,0.105
265,0.0994
270,0.0994
275,0.105
280,0.105
285,0.105
290,0.105
295,0.108
300,0.108
305,0.106
310,0.106
315,0.103
320,0.103
325,0.106
330,0.106
335,0.107
340,0.107
345,0.105
350,0.105
355,0.104
360,0.104
365,0.105
370,0.105
375,0.103
380,0.103
385,0.102
390,0.102
395,0.113
400,0.113
405,0.163
410,0.163
415,0.161
420,0.161
425,0.159
430,0.159
435,0.16
440,0.16
445,0.154
450,0.154
455,0.155
460,0.155
465,0.161
470,0.161
475,0.174
480,0.174
485,0.16
490,0.16
495,0.153
500,0.153
505,0.16
510,0.16
515,0.159
520,0.159
525,0.156
530,0.156
535,0.16
540,0.16
545,0.152
550,0.152
555,0.15
560,0.15
565,0.159
570,0.159
575,0.163
580,0.163
585,0.158
590,0.158
595,0.0431
600,0.0431
