Time,bankingsystemcsharp
5,74805248
10,75018240
15,75243520
20,75231232
25,75157504
30,75243520
35,75214848
40,72278016
45,74780672
50,74764288
55,74768384
60,74854400
65,74895360
70,74899456
75,74858496
80,74858496
85,74862592
90,77529088
95,77496320
100,77541376
105,77533184
110,77504512
115,77512704
120,77557760
125,77512704
130,77524992
135,77524992
140,77541376
145,77545472
150,77545472
155,77545472
160,77574144
165,77529088
170,77529088
175,77529088
180,77529088
185,77529088
190,83820544
195,81911808
200,81928192
205,81928192
210,81969152
215,81956864
220,81936384
225,81977344
230,82026496
235,82038784
240,81928192
245,81932288
250,81969152
255,81936384
260,81944576
265,81981440
270,81956864
275,81973248
280,81965056
285,81932288
290,82108416
295,82075648
300,82034688
305,82067456
310,82034688
315,82034688
320,82079744
325,82079744
330,82038784
335,82153472
340,82116608
345,82092032
350,82075648
355,82247680
360,82239488
365,82284544
370,82288640
375,82243584
380,82272256
385,82284544
390,82264064
395,84582400
400,82231296
405,82231296
410,82243584
415,82243584
420,82243584
425,82276352
430,82247680
435,82247680
440,82247680
445,82259968
450,82259968
455,82259968
460,82259968
465,82259968
470,82366464
475,82259968
480,82259968
485,82317312
490,82259968
495,82300928
500,82255872
505,82284544
510,82243584
515,82243584
520,82305024
525,82305024
530,82305024
535,82305024
540,82259968
545,82501632
550,82472960
555,82477056
560,82477056
565,82481152
570,82550784
575,82546688
580,82477056
585,82722816
590,84000768
595,84283392
600,84279296
605,84213760
