"Time","bankingsystemcsharp-c7df4f849-bm625"
2024-05-03 00:00:00,101
2024-05-03 00:00:30,98.1
2024-05-03 00:01:00,97.6
2024-05-03 00:01:30,99.0
2024-05-03 00:02:00,98.5
2024-05-03 00:02:30,101
2024-05-03 00:03:00,96.3
2024-05-03 00:03:30,97.5
2024-05-03 00:04:00,100
2024-05-03 00:04:30,96.6
2024-05-03 00:05:00,97.8
2024-05-03 00:05:30,102
2024-05-03 00:06:00,98.6
2024-05-03 00:06:30,99.8
2024-05-03 00:07:00,101
2024-05-03 00:07:30,98.1
2024-05-03 00:08:00,97.7
2024-05-03 00:08:30,99.0
2024-05-03 00:09:00,102
2024-05-03 00:09:30,97.0
2024-05-03 00:10:00,96.6
2024-05-03 00:10:30,98
2024-05-03 00:11:00,98.7
2024-05-03 00:11:30,94.0
2024-05-03 00:12:00,103
2024-05-03 00:12:30,98.1
2024-05-03 00:13:00,102
2024-05-03 00:13:30,95.9
2024-05-03 00:14:00,103
2024-05-03 00:14:30,99.4
2024-05-03 00:15:00,98.7
2024-05-03 00:15:30,97.6
2024-05-03 00:16:00,97.6
2024-05-03 00:16:30,99.0
2024-05-03 00:17:00,103
2024-05-03 00:17:30,98.1
2024-05-03 00:18:00,99.6
2024-05-03 00:18:30,98.9
2024-05-03 00:19:00,750
2024-05-03 00:19:30,267
2024-05-03 00:20:00,256
2024-05-03 00:20:30,266
2024-05-03 00:21:00,267
2024-05-03 00:21:30,257
2024-05-03 00:22:00,267
2024-05-03 00:22:30,257
2024-05-03 00:23:00,272
2024-05-03 00:23:30,258
2024-05-03 00:24:00,266
2024-05-03 00:24:30,260
2024-05-03 00:25:00,261
2024-05-03 00:25:30,267
2024-05-03 00:26:00,256
2024-05-03 00:26:30,265
2024-05-03 00:27:00,266
2024-05-03 00:27:30,258
2024-05-03 00:28:00,266
2024-05-03 00:28:30,261
2024-05-03 00:29:00,274
2024-05-03 00:29:30,262
2024-05-03 00:30:00,259
2024-05-03 00:30:30,271
2024-05-03 00:31:00,259
2024-05-03 00:31:30,273
2024-05-03 00:32:00,259
2024-05-03 00:32:30,267
2024-05-03 00:33:00,257
2024-05-03 00:33:30,257
2024-05-03 00:34:00,265
2024-05-03 00:34:30,263
2024-05-03 00:35:00,260
2024-05-03 00:35:30,266
2024-05-03 00:36:00,265
2024-05-03 00:36:30,264
2024-05-03 00:37:00,259
2024-05-03 00:37:30,266
2024-05-03 00:38:00,260
2024-05-03 00:38:30,257
2024-05-03 00:39:00,895
2024-05-03 00:39:30,419
2024-05-03 00:40:00,426
2024-05-03 00:40:30,412
2024-05-03 00:41:00,430
2024-05-03 00:41:30,426
2024-05-03 00:42:00,422
2024-05-03 00:42:30,418
2024-05-03 00:43:00,415
2024-05-03 00:43:30,428
2024-05-03 00:44:00,420
2024-05-03 00:44:30,424
2024-05-03 00:45:00,417
2024-05-03 00:45:30,422
2024-05-03 00:46:00,416
2024-05-03 00:46:30,430
2024-05-03 00:47:00,418
2024-05-03 00:47:30,410
2024-05-03 00:48:00,433
2024-05-03 00:48:30,414
2024-05-03 00:49:00,416
2024-05-03 00:49:30,415
2024-05-03 00:50:00,426
2024-05-03 00:50:30,411
2024-05-03 00:51:00,421
2024-05-03 00:51:30,428
2024-05-03 00:52:00,413
2024-05-03 00:52:30,413
2024-05-03 00:53:00,435
2024-05-03 00:53:30,389
2024-05-03 00:54:00,429
2024-05-03 00:54:30,427
2024-05-03 00:55:00,418
2024-05-03 00:55:30,414
2024-05-03 00:56:00,417
2024-05-03 00:56:30,420
2024-05-03 00:57:00,422
2024-05-03 00:57:30,411
2024-05-03 00:58:00,434
2024-05-03 00:58:30,298
2024-05-03 00:59:00,4.67
2024-05-03 00:59:30,4.56
2024-05-03 01:00:00,4.51
