"Time","bankingsystemcsharp-c7df4f849-bm625"
2024-05-03 00:00:00,105
2024-05-03 00:00:30,102
2024-05-03 00:01:00,100
2024-05-03 00:01:30,103
2024-05-03 00:02:00,102
2024-05-03 00:02:30,105
2024-05-03 00:03:00,99.9
2024-05-03 00:03:30,101
2024-05-03 00:04:00,104
2024-05-03 00:04:30,100
2024-05-03 00:05:00,101
2024-05-03 00:05:30,106
2024-05-03 00:06:00,102
2024-05-03 00:06:30,104
2024-05-03 00:07:00,105
2024-05-03 00:07:30,102
2024-05-03 00:08:00,101
2024-05-03 00:08:30,102
2024-05-03 00:09:00,105
2024-05-03 00:09:30,100
2024-05-03 00:10:00,99.7
2024-05-03 00:10:30,101
2024-05-03 00:11:00,102
2024-05-03 00:11:30,97.3
2024-05-03 00:12:00,107
2024-05-03 00:12:30,101
2024-05-03 00:13:00,105
2024-05-03 00:13:30,99.4
2024-05-03 00:14:00,106
2024-05-03 00:14:30,103
2024-05-03 00:15:00,102
2024-05-03 00:15:30,101
2024-05-03 00:16:00,101
2024-05-03 00:16:30,103
2024-05-03 00:17:00,106
2024-05-03 00:17:30,102
2024-05-03 00:18:00,103
2024-05-03 00:18:30,103
2024-05-03 00:19:00,741
2024-05-03 00:19:30,265
2024-05-03 00:20:00,255
2024-05-03 00:20:30,265
2024-05-03 00:21:00,266
2024-05-03 00:21:30,256
2024-05-03 00:22:00,266
2024-05-03 00:22:30,256
2024-05-03 00:23:00,272
2024-05-03 00:23:30,257
2024-05-03 00:24:00,265
2024-05-03 00:24:30,259
2024-05-03 00:25:00,260
2024-05-03 00:25:30,266
2024-05-03 00:26:00,255
2024-05-03 00:26:30,265
2024-05-03 00:27:00,265
2024-05-03 00:27:30,258
2024-05-03 00:28:00,265
2024-05-03 00:28:30,261
2024-05-03 00:29:00,274
2024-05-03 00:29:30,261
2024-05-03 00:30:00,259
2024-05-03 00:30:30,270
2024-05-03 00:31:00,258
2024-05-03 00:31:30,273
2024-05-03 00:32:00,259
2024-05-03 00:32:30,267
2024-05-03 00:33:00,257
2024-05-03 00:33:30,257
2024-05-03 00:34:00,264
2024-05-03 00:34:30,262
2024-05-03 00:35:00,260
2024-05-03 00:35:30,266
2024-05-03 00:36:00,264
2024-05-03 00:36:30,264
2024-05-03 00:37:00,258
2024-05-03 00:37:30,266
2024-05-03 00:38:00,259
2024-05-03 00:38:30,255
2024-05-03 00:39:00,890
2024-05-03 00:39:30,419
2024-05-03 00:40:00,426
2024-05-03 00:40:30,411
2024-05-03 00:41:00,429
2024-05-03 00:41:30,425
2024-05-03 00:42:00,422
2024-05-03 00:42:30,418
2024-05-03 00:43:00,414
2024-05-03 00:43:30,428
2024-05-03 00:44:00,419
2024-05-03 00:44:30,423
2024-05-03 00:45:00,417
2024-05-03 00:45:30,422
2024-05-03 00:46:00,415
2024-05-03 00:46:30,429
2024-05-03 00:47:00,418
2024-05-03 00:47:30,409
2024-05-03 00:48:00,433
2024-05-03 00:48:30,414
2024-05-03 00:49:00,416
2024-05-03 00:49:30,415
2024-05-03 00:50:00,425
2024-05-03 00:50:30,410
2024-05-03 00:51:00,421
2024-05-03 00:51:30,427
2024-05-03 00:52:00,413
2024-05-03 00:52:30,413
2024-05-03 00:53:00,435
2024-05-03 00:53:30,387
2024-05-03 00:54:00,429
2024-05-03 00:54:30,426
2024-05-03 00:55:00,417
2024-05-03 00:55:30,413
2024-05-03 00:56:00,416
2024-05-03 00:56:30,419
2024-05-03 00:57:00,422
2024-05-03 00:57:30,411
2024-05-03 00:58:00,433
2024-05-03 00:58:30,298
2024-05-03 00:59:00,3.18
2024-05-03 00:59:30,3
2024-05-03 01:00:00,3
