Time,bankingsystemcsharp-c7df4f849-bm625
5.00,18602
10.00,18057
15.00,17844
20.00,18088
25.00,18066
30.00,18643
35.00,17741
40.00,17845
45.00,18417
50.00,17629
55.00,17889
60.00,18739
65.00,18110
70.00,18354
75.00,18509
80.00,17916
85.00,17946
90.00,18220
95.00,18547
100.00,17780
105.00,17751
110.00,17887
115.00,18155
120.00,17142
125.00,18772
130.00,18059
135.00,18603
140.00,17551
145.00,18910
150.00,18281
155.00,18028
160.00,17917
165.00,17917
170.00,18122
175.00,18914
180.00,17960
185.00,18289
190.00,18124
195.00,181460
200.00,52550
205.00,50390
210.00,52471
215.00,52615
220.00,50740
225.00,52570
230.00,50717
235.00,53827
240.00,50953
245.00,52355
250.00,51230
255.00,51518
260.00,52901
265.00,50391
270.00,52379
275.00,52621
280.00,50976
285.00,52457
290.00,51816
295.00,54236
300.00,51718
305.00,51130
310.00,53590
315.00,50967
320.00,54022
325.00,51228
330.00,52808
335.00,50847
340.00,50847
345.00,52136
350.00,52118
355.00,51357
360.00,52699
365.00,52124
370.00,52338
375.00,50961
380.00,52909
385.00,51290
390.00,50914
395.00,210647
400.00,84872
405.00,86090
410.00,83499
415.00,86762
420.00,86146
425.00,85315
430.00,84649
435.00,83663
440.00,86654
445.00,84835
450.00,85920
455.00,84249
460.00,85651
465.00,84055
470.00,86999
475.00,84404
480.00,83072
485.00,87694
490.00,83694
495.00,84055
500.00,84068
505.00,86032
510.00,83121
515.00,84994
520.00,86419
525.00,83469
530.00,83469
535.00,87922
540.00,78962
545.00,86579
550.00,86347
555.00,84590
560.00,84230
565.00,84238
570.00,85087
575.00,85351
580.00,83416
585.00,87863
590.00,60193
595.00,560
600.00,545
605.00,544
