"Time","bankingsystemcsharp-c7df4f849-bm625"
2024-05-03 00:00:00,20226
2024-05-03 00:00:30,19539
2024-05-03 00:01:00,19252
2024-05-03 00:01:30,19553
2024-05-03 00:02:00,19624
2024-05-03 00:02:30,20248
2024-05-03 00:03:00,19309
2024-05-03 00:03:30,19350
2024-05-03 00:04:00,20039
2024-05-03 00:04:30,19106
2024-05-03 00:05:00,19365
2024-05-03 00:05:30,20388
2024-05-03 00:06:00,19646
2024-05-03 00:06:30,19937
2024-05-03 00:07:00,20055
2024-05-03 00:07:30,19336
2024-05-03 00:08:00,19405
2024-05-03 00:08:30,19723
2024-05-03 00:09:00,20067
2024-05-03 00:09:30,19242
2024-05-03 00:10:00,19222
2024-05-03 00:10:30,19315
2024-05-03 00:11:00,19584
2024-05-03 00:11:30,18537
2024-05-03 00:12:00,20301
2024-05-03 00:12:30,19589
2024-05-03 00:13:00,20211
2024-05-03 00:13:30,19064
2024-05-03 00:14:00,20525
2024-05-03 00:14:30,19792
2024-05-03 00:15:00,19458
2024-05-03 00:15:30,19388
2024-05-03 00:16:00,19388
2024-05-03 00:16:30,19665
2024-05-03 00:17:00,20499
2024-05-03 00:17:30,19445
2024-05-03 00:18:00,19843
2024-05-03 00:18:30,19648
2024-05-03 00:19:00,196491
2024-05-03 00:19:30,56329
2024-05-03 00:20:00,54108
2024-05-03 00:20:30,56394
2024-05-03 00:21:00,56572
2024-05-03 00:21:30,54601
2024-05-03 00:22:00,56414
2024-05-03 00:22:30,54508
2024-05-03 00:23:00,57841
2024-05-03 00:23:30,54651
2024-05-03 00:24:00,56199
2024-05-03 00:24:30,55033
2024-05-03 00:25:00,55389
2024-05-03 00:25:30,56709
2024-05-03 00:26:00,54005
2024-05-03 00:26:30,56305
2024-05-03 00:27:00,56518
2024-05-03 00:27:30,54630
2024-05-03 00:28:00,56408
2024-05-03 00:28:30,55818
2024-05-03 00:29:00,58416
2024-05-03 00:29:30,55471
2024-05-03 00:30:00,54902
2024-05-03 00:30:30,57486
2024-05-03 00:31:00,54683
2024-05-03 00:31:30,58006
2024-05-03 00:32:00,55103
2024-05-03 00:32:30,56755
2024-05-03 00:33:00,54661
2024-05-03 00:33:30,54661
2024-05-03 00:34:00,56031
2024-05-03 00:34:30,55971
2024-05-03 00:35:00,55072
2024-05-03 00:35:30,56761
2024-05-03 00:36:00,56006
2024-05-03 00:36:30,56215
2024-05-03 00:37:00,54712
2024-05-03 00:37:30,56868
2024-05-03 00:38:00,55022
2024-05-03 00:38:30,54557
2024-05-03 00:39:00,227996
2024-05-03 00:39:30,91179
2024-05-03 00:40:00,92490
2024-05-03 00:40:30,89675
2024-05-03 00:41:00,93271
2024-05-03 00:41:30,92619
2024-05-03 00:42:00,91749
2024-05-03 00:42:30,91066
2024-05-03 00:43:00,90020
2024-05-03 00:43:30,93253
2024-05-03 00:44:00,91196
2024-05-03 00:44:30,92387
2024-05-03 00:45:00,90678
2024-05-03 00:45:30,92171
2024-05-03 00:46:00,90425
2024-05-03 00:46:30,93452
2024-05-03 00:47:00,90768
2024-05-03 00:47:30,89128
2024-05-03 00:48:00,94291
2024-05-03 00:48:30,89888
2024-05-03 00:49:00,90416
2024-05-03 00:49:30,90508
2024-05-03 00:50:00,92477
2024-05-03 00:50:30,89350
2024-05-03 00:51:00,91323
2024-05-03 00:51:30,92721
2024-05-03 00:52:00,89789
2024-05-03 00:52:30,89789
2024-05-03 00:53:00,94587
2024-05-03 00:53:30,84697
2024-05-03 00:54:00,93015
2024-05-03 00:54:30,92625
2024-05-03 00:55:00,90942
2024-05-03 00:55:30,90504
2024-05-03 00:56:00,90545
2024-05-03 00:56:30,91491
2024-05-03 00:57:00,91739
2024-05-03 00:57:30,89688
2024-05-03 00:58:00,94625
2024-05-03 00:58:30,64477
2024-05-03 00:59:00,465
2024-05-03 00:59:30,450
2024-05-03 01:00:00,446
