Time,bankingsystemrust
5,9285632
10,9285632
15,9285632
20,9289728
25,9293824
30,9293824
35,11083776
40,11083776
45,11083776
50,11083776
55,11083776
60,11083776
65,11091968
70,11087872
75,11091968
80,11091968
85,11091968
90,11075584
95,11091968
100,11091968
105,11091968
110,11096064
115,11096064
120,11096064
125,11096064
130,11096064
135,11096064
140,11096064
145,11096064
150,11091968
155,11096064
160,11096064
165,11096064
170,11091968
175,11096064
180,11096064
185,11096064
190,11096064
195,18124800
200,18116608
205,18116608
210,18116608
215,18116608
220,18116608
225,18841600
230,21135360
235,22704128
240,24166400
245,25620480
250,26861568
255,27701248
260,29396992
265,30539776
270,32387072
275,33222656
280,34922496
285,36171776
290,37765120
295,39170048
300,39833600
305,41648128
310,43159552
315,43970560
320,45420544
325,46809088
330,48398336
335,49225728
340,50724864
345,51712000
350,53338112
355,54939648
360,56451072
365,57749504
370,58560512
375,60014592
380,61652992
385,62500864
390,63930368
395,75100160
400,78045184
405,80764928
410,82513920
415,86745088
420,89432064
425,91914240
430,94466048
435,96206848
440,99831808
445,102723584
450,104194048
455,107130880
460,109641728
465,112402432
470,115212288
475,117882880
480,120205312
485,120692736
490,120692736
495,120692736
500,121212928
505,121212928
510,121212928
515,121212928
520,121212928
525,121212928
530,121212928
535,121212928
540,121212928
545,121212928
550,121212928
555,121212928
560,121212928
565,121212928
570,121212928
575,121212928
580,121212928
585,121212928
590,121217024
595,121212928
600,121212928
