"Time","bankingsystemrust-7dbd6cd677-lj277"
2024-05-02 15:05:30,120
2024-05-02 15:06:00,117
2024-05-02 15:06:30,116
2024-05-02 15:07:00,115
2024-05-02 15:07:30,115
2024-05-02 15:08:00,118
2024-05-02 15:08:30,113
2024-05-02 15:09:00,122
2024-05-02 15:09:30,120
2024-05-02 15:10:00,119
2024-05-02 15:10:30,120
2024-05-02 15:11:00,115
2024-05-02 15:11:30,115
2024-05-02 15:12:00,116
2024-05-02 15:12:30,119
2024-05-02 15:13:00,114
2024-05-02 15:13:30,112
2024-05-02 15:14:00,118
2024-05-02 15:14:30,117
2024-05-02 15:15:00,116
2024-05-02 15:15:30,122
2024-05-02 15:16:00,118
2024-05-02 15:16:30,115
2024-05-02 15:17:00,116
2024-05-02 15:17:30,116
2024-05-02 15:18:00,113
2024-05-02 15:18:30,119
2024-05-02 15:19:00,115
2024-05-02 15:19:30,116
2024-05-02 15:20:00,114
2024-05-02 15:20:30,114
2024-05-02 15:21:00,115
2024-05-02 15:21:30,121
2024-05-02 15:22:00,122
2024-05-02 15:22:30,111
2024-05-02 15:23:00,117
2024-05-02 15:23:30,116
2024-05-02 15:24:00,122
2024-05-02 15:24:30,1044
2024-05-02 15:25:00,686
2024-05-02 15:25:30,189
2024-05-02 15:26:00,191
2024-05-02 15:26:30,186
2024-05-02 15:27:00,195
2024-05-02 15:27:30,188
2024-05-02 15:28:00,193
2024-05-02 15:28:30,187
2024-05-02 15:29:00,187
2024-05-02 15:29:30,193
2024-05-02 15:30:00,193
2024-05-02 15:30:30,188
2024-05-02 15:31:00,188
2024-05-02 15:31:30,191
2024-05-02 15:32:00,193
2024-05-02 15:32:30,180
2024-05-02 15:33:00,196
2024-05-02 15:33:30,189
2024-05-02 15:34:00,195
2024-05-02 15:34:30,190
2024-05-02 15:35:00,190
2024-05-02 15:35:30,180
2024-05-02 15:36:00,191
2024-05-02 15:36:30,195
2024-05-02 15:37:00,192
2024-05-02 15:37:30,189
2024-05-02 15:38:00,191
2024-05-02 15:38:30,193
2024-05-02 15:39:00,192
2024-05-02 15:39:30,186
2024-05-02 15:40:00,190
2024-05-02 15:40:30,191
2024-05-02 15:41:00,184
2024-05-02 15:41:30,189
2024-05-02 15:42:00,193
2024-05-02 15:42:30,193
2024-05-02 15:43:00,194
2024-05-02 15:43:30,186
2024-05-02 15:44:00,184
2024-05-02 15:44:30,223
2024-05-02 15:45:00,256
2024-05-02 15:45:30,246
2024-05-02 15:46:00,240
2024-05-02 15:46:30,245
2024-05-02 15:47:00,258
2024-05-02 15:47:30,248
2024-05-02 15:48:00,246
2024-05-02 15:48:30,244
2024-05-02 15:49:00,251
2024-05-02 15:49:30,253
2024-05-02 15:50:00,242
2024-05-02 15:50:30,255
2024-05-02 15:51:00,242
2024-05-02 15:51:30,249
2024-05-02 15:52:00,252
2024-05-02 15:52:30,246
2024-05-02 15:53:00,249
2024-05-02 15:53:30,90.6
2024-05-02 15:54:00,73.3
2024-05-02 15:54:30,73.3
2024-05-02 15:55:00,72.9
2024-05-02 15:55:30,72.2
2024-05-02 15:56:00,71.4
2024-05-02 15:56:30,70.3
2024-05-02 15:57:00,73.6
2024-05-02 15:57:30,73.1
2024-05-02 15:58:00,71.4
2024-05-02 15:58:30,72.2
2024-05-02 15:59:00,74.9
2024-05-02 15:59:30,73.2
2024-05-02 16:00:00,73.7
2024-05-02 16:00:30,67.8
2024-05-02 16:01:00,73.6
2024-05-02 16:01:30,74.1
2024-05-02 16:02:00,73.2
2024-05-02 16:02:30,70.8
2024-05-02 16:03:00,71.5
2024-05-02 16:03:30,72.3
2024-05-02 16:04:00,63.9
2024-05-02 16:04:30,68.6
2024-05-02 16:05:00,70.2
2024-05-02 16:05:30,71.8
2024-05-02 16:06:00,72.5
2024-05-02 16:06:30,73.2
2024-05-02 16:07:00,75
2024-05-02 16:07:30,72.9
2024-05-02 16:08:00,73.0
2024-05-02 16:08:30,71.6
2024-05-02 16:09:00,64.1
2024-05-02 16:09:30,64.1
2024-05-02 16:10:00,64.1
