"Time","bankingsystemrust-7dbd6cd677-lj277"
2024-05-02 15:05:30,130
2024-05-02 15:06:00,129
2024-05-02 15:06:30,126
2024-05-02 15:07:00,126
2024-05-02 15:07:30,126
2024-05-02 15:08:00,129
2024-05-02 15:08:30,124
2024-05-02 15:09:00,133
2024-05-02 15:09:30,131
2024-05-02 15:10:00,131
2024-05-02 15:10:30,131
2024-05-02 15:11:00,127
2024-05-02 15:11:30,127
2024-05-02 15:12:00,127
2024-05-02 15:12:30,130
2024-05-02 15:13:00,125
2024-05-02 15:13:30,123
2024-05-02 15:14:00,130
2024-05-02 15:14:30,129
2024-05-02 15:15:00,127
2024-05-02 15:15:30,132
2024-05-02 15:16:00,129
2024-05-02 15:16:30,128
2024-05-02 15:17:00,127
2024-05-02 15:17:30,127
2024-05-02 15:18:00,124
2024-05-02 15:18:30,129
2024-05-02 15:19:00,127
2024-05-02 15:19:30,128
2024-05-02 15:20:00,124
2024-05-02 15:20:30,124
2024-05-02 15:21:00,127
2024-05-02 15:21:30,133
2024-05-02 15:22:00,134
2024-05-02 15:22:30,123
2024-05-02 15:23:00,128
2024-05-02 15:23:30,128
2024-05-02 15:24:00,133
2024-05-02 15:24:30,996
2024-05-02 15:25:00,674
2024-05-02 15:25:30,191
2024-05-02 15:26:00,193
2024-05-02 15:26:30,188
2024-05-02 15:27:00,198
2024-05-02 15:27:30,188
2024-05-02 15:28:00,195
2024-05-02 15:28:30,189
2024-05-02 15:29:00,188
2024-05-02 15:29:30,194
2024-05-02 15:30:00,195
2024-05-02 15:30:30,188
2024-05-02 15:31:00,190
2024-05-02 15:31:30,193
2024-05-02 15:32:00,194
2024-05-02 15:32:30,182
2024-05-02 15:33:00,197
2024-05-02 15:33:30,190
2024-05-02 15:34:00,197
2024-05-02 15:34:30,191
2024-05-02 15:35:00,192
2024-05-02 15:35:30,182
2024-05-02 15:36:00,193
2024-05-02 15:36:30,197
2024-05-02 15:37:00,194
2024-05-02 15:37:30,191
2024-05-02 15:38:00,192
2024-05-02 15:38:30,195
2024-05-02 15:39:00,194
2024-05-02 15:39:30,186
2024-05-02 15:40:00,192
2024-05-02 15:40:30,194
2024-05-02 15:41:00,185
2024-05-02 15:41:30,190
2024-05-02 15:42:00,195
2024-05-02 15:42:30,195
2024-05-02 15:43:00,196
2024-05-02 15:43:30,188
2024-05-02 15:44:00,183
2024-05-02 15:44:30,225
2024-05-02 15:45:00,265
2024-05-02 15:45:30,254
2024-05-02 15:46:00,248
2024-05-02 15:46:30,252
2024-05-02 15:47:00,266
2024-05-02 15:47:30,256
2024-05-02 15:48:00,254
2024-05-02 15:48:30,252
2024-05-02 15:49:00,259
2024-05-02 15:49:30,260
2024-05-02 15:50:00,249
2024-05-02 15:50:30,264
2024-05-02 15:51:00,250
2024-05-02 15:51:30,256
2024-05-02 15:52:00,260
2024-05-02 15:52:30,253
2024-05-02 15:53:00,257
2024-05-02 15:53:30,102
2024-05-02 15:54:00,85.6
2024-05-02 15:54:30,85.6
2024-05-02 15:55:00,85.2
2024-05-02 15:55:30,84.7
2024-05-02 15:56:00,82.3
2024-05-02 15:56:30,82.3
2024-05-02 15:57:00,85.4
2024-05-02 15:57:30,84.9
2024-05-02 15:58:00,82.9
2024-05-02 15:58:30,84.3
2024-05-02 15:59:00,86.7
2024-05-02 15:59:30,85.2
2024-05-02 16:00:00,85.8
2024-05-02 16:00:30,79.8
2024-05-02 16:01:00,85.8
2024-05-02 16:01:30,85.1
2024-05-02 16:02:00,85.3
2024-05-02 16:02:30,82.9
2024-05-02 16:03:00,83.6
2024-05-02 16:03:30,85.4
2024-05-02 16:04:00,76.5
2024-05-02 16:04:30,79.6
2024-05-02 16:05:00,83.3
2024-05-02 16:05:30,83.6
2024-05-02 16:06:00,84.9
2024-05-02 16:06:30,85.2
2024-05-02 16:07:00,87.2
2024-05-02 16:07:30,84.6
2024-05-02 16:08:00,84.5
2024-05-02 16:08:30,83.0
2024-05-02 16:09:00,73.9
2024-05-02 16:09:30,73.9
2024-05-02 16:10:00,73.9
