Time,bankingsystemrust-7dbd6cd677-lj277
5.00,21122
10.00,20700
15.00,20297
20.00,20425
25.00,20177
30.00,20679
35.00,19736
40.00,21372
45.00,21151
50.00,21021
55.00,21133
60.00,20294
65.00,20165
70.00,20348
75.00,20966
80.00,20149
85.00,19664
90.00,20701
95.00,20493
100.00,20543
105.00,21502
110.00,20729
115.00,20105
120.00,20418
125.00,20523
130.00,19792
135.00,20923
140.00,20303
145.00,20343
150.00,20082
155.00,20082
160.00,20364
165.00,21308
170.00,21558
175.00,19451
180.00,20494
185.00,20341
190.00,21532
195.00,241654
200.00,89840
205.00,36181
210.00,36420
215.00,35373
220.00,37213
225.00,35750
230.00,36805
235.00,35778
240.00,35692
245.00,36664
250.00,37088
255.00,35829
260.00,36008
265.00,36582
270.00,36618
275.00,34364
280.00,37294
285.00,35860
290.00,37331
295.00,36383
300.00,36416
305.00,34534
310.00,36494
315.00,37189
320.00,36543
325.00,36012
330.00,36334
335.00,36881
340.00,36607
345.00,35268
350.00,36285
355.00,36648
360.00,35051
365.00,36117
370.00,36924
375.00,36924
380.00,37004
385.00,35510
390.00,35186
395.00,145656
400.00,51441
405.00,49801
410.00,48497
415.00,49420
420.00,51945
425.00,49867
430.00,49427
435.00,49051
440.00,50198
445.00,50757
450.00,48363
455.00,51351
460.00,48669
465.00,49856
470.00,50678
475.00,49418
480.00,49773
485.00,29721
490.00,13188
495.00,13188
500.00,50432
505.00,12960
510.00,12787
515.00,12656
520.00,13217
525.00,13122
530.00,12823
535.00,12972
540.00,13402
545.00,39268
550.00,13275
555.00,12138
560.00,13215
565.00,13190
570.00,13174
575.00,12778
580.00,12839
585.00,13017
590.00,11500
595.00,40499
600.00,12644
