"Time","bankingsystemrust-7dbd6cd677-lj277"
2024-05-02 15:05:30,24254
2024-05-02 15:06:00,23814
2024-05-02 15:06:30,23316
2024-05-02 15:07:00,23528
2024-05-02 15:07:30,23264
2024-05-02 15:08:00,23812
2024-05-02 15:08:30,22750
2024-05-02 15:09:00,24524
2024-05-02 15:09:30,24330
2024-05-02 15:10:00,24247
2024-05-02 15:10:30,24307
2024-05-02 15:11:00,23376
2024-05-02 15:11:30,23281
2024-05-02 15:12:00,23447
2024-05-02 15:12:30,24009
2024-05-02 15:13:00,23212
2024-05-02 15:13:30,22648
2024-05-02 15:14:00,23827
2024-05-02 15:14:30,23666
2024-05-02 15:15:00,23666
2024-05-02 15:15:30,24655
2024-05-02 15:16:00,23899
2024-05-02 15:16:30,23223
2024-05-02 15:17:00,23544
2024-05-02 15:17:30,23580
2024-05-02 15:18:00,22792
2024-05-02 15:18:30,24020
2024-05-02 15:19:00,23398
2024-05-02 15:19:30,23501
2024-05-02 15:20:00,23095
2024-05-02 15:20:30,23095
2024-05-02 15:21:00,23501
2024-05-02 15:21:30,24569
2024-05-02 15:22:00,24861
2024-05-02 15:22:30,22444
2024-05-02 15:23:00,23586
2024-05-02 15:23:30,23430
2024-05-02 15:24:00,24689
2024-05-02 15:24:30,249491
2024-05-02 15:25:00,157594
2024-05-02 15:25:30,32518
2024-05-02 15:26:00,32913
2024-05-02 15:26:30,32108
2024-05-02 15:27:00,33783
2024-05-02 15:27:30,32367
2024-05-02 15:28:00,33354
2024-05-02 15:28:30,32452
2024-05-02 15:29:00,32326
2024-05-02 15:29:30,33108
2024-05-02 15:30:00,33348
2024-05-02 15:30:30,32138
2024-05-02 15:31:00,32549
2024-05-02 15:31:30,33026
2024-05-02 15:32:00,33117
2024-05-02 15:32:30,30791
2024-05-02 15:33:00,33721
2024-05-02 15:33:30,32455
2024-05-02 15:34:00,33707
2024-05-02 15:34:30,32608
2024-05-02 15:35:00,32640
2024-05-02 15:35:30,30900
2024-05-02 15:36:00,32933
2024-05-02 15:36:30,33626
2024-05-02 15:37:00,33017
2024-05-02 15:37:30,32446
2024-05-02 15:38:00,32833
2024-05-02 15:38:30,33317
2024-05-02 15:39:00,33171
2024-05-02 15:39:30,32009
2024-05-02 15:40:00,32763
2024-05-02 15:40:30,32936
2024-05-02 15:41:00,31709
2024-05-02 15:41:30,32493
2024-05-02 15:42:00,33337
2024-05-02 15:42:30,33337
2024-05-02 15:43:00,33450
2024-05-02 15:43:30,32080
2024-05-02 15:44:00,30643
2024-05-02 15:44:30,35077
2024-05-02 15:45:00,41455
2024-05-02 15:45:30,39724
2024-05-02 15:46:00,38783
2024-05-02 15:46:30,39614
2024-05-02 15:47:00,41767
2024-05-02 15:47:30,40188
2024-05-02 15:48:00,39557
2024-05-02 15:48:30,39281
2024-05-02 15:49:00,40683
2024-05-02 15:49:30,40748
2024-05-02 15:50:00,39172
2024-05-02 15:50:30,41154
2024-05-02 15:51:00,39192
2024-05-02 15:51:30,40118
2024-05-02 15:52:00,40612
2024-05-02 15:52:30,39853
2024-05-02 15:53:00,40272
2024-05-02 15:53:30,21474
2024-05-02 15:54:00,20068
2024-05-02 15:54:30,20068
2024-05-02 15:55:00,19706
2024-05-02 15:55:30,19731
2024-05-02 15:56:00,19369
2024-05-02 15:56:30,19247
2024-05-02 15:57:00,20052
2024-05-02 15:57:30,19927
2024-05-02 15:58:00,19476
2024-05-02 15:58:30,19721
2024-05-02 15:59:00,20333
2024-05-02 15:59:30,19803
2024-05-02 16:00:00,20175
2024-05-02 16:00:30,18487
2024-05-02 16:01:00,20085
2024-05-02 16:01:30,19948
2024-05-02 16:02:00,20036
2024-05-02 16:02:30,19430
2024-05-02 16:03:00,19547
2024-05-02 16:03:30,19857
2024-05-02 16:04:00,17556
2024-05-02 16:04:30,18393
2024-05-02 16:05:00,19285
2024-05-02 16:05:30,19627
2024-05-02 16:06:00,19936
2024-05-02 16:06:30,20064
2024-05-02 16:07:00,20553
2024-05-02 16:07:30,19932
2024-05-02 16:08:00,19930
2024-05-02 16:08:30,19587
2024-05-02 16:09:00,16819
2024-05-02 16:09:30,16819
2024-05-02 16:10:00,16819
